sentiment,time,hashtags
0.0,1421255375.0,
0.0,1421255375.0,
-3.0,1421255375.0,football
0.0,1421255375.0,football
2.0,1421255375.0,football
0.0,1421255375.0,football
0.0,1421255375.0,
0.0,1421255375.0,football
2.0,1421255375.0,
1.0,1421255375.0,
8.0,1421255376.0,
0.0,1421255376.0,
3.0,1421255376.0,
0.0,1421255376.0,
0.0,1421255376.0,
0.0,1421255377.0,
3.0,1421255378.0,
0.0,1421255378.0,
8.0,1421255379.0,
0.0,1421255379.0,
0.0,1421255379.0,
-3.0,1421255379.0,
6.0,1421255380.0,
0.0,1421255380.0,
4.0,1421255380.0,
0.0,1421255381.0,
8.0,1421255382.0,
0.0,1421255383.0,
0.0,1421255384.0,
3.0,1421255384.0,
0.0,1421255385.0,
0.0,1421255385.0,
0.0,1421255385.0,
0.0,1421255385.0,
-1.0,1421255386.0,
8.0,1421255386.0,
2.0,1421255386.0,
0.0,1421255387.0,
0.0,1421255387.0,
0.0,1421255388.0,
0.0,1421255388.0,
4.0,1421255389.0,
9.0,1421255390.0,
0.0,1421255391.0,
-4.0,1421255391.0,
5.0,1421255391.0,
0.0,1421255391.0,
-4.0,1421255392.0,
0.0,1421255392.0,
0.0,1421255394.0,
2.0,1421255394.0,
3.0,1421255394.0,
0.0,1421255394.0,
0.0,1421255395.0,
0.0,1421255396.0,
0.0,1421255396.0,
8.0,1421255397.0,
0.0,1421255398.0,football
-2.0,1421255398.0,
1.0,1421255398.0,
5.0,1421255398.0,
2.0,1421255399.0,
0.0,1421255400.0,
-5.0,1421255399.0,
0.0,1421255400.0,
8.0,1421255401.0,
0.0,1421255401.0,
0.0,1421255402.0,
0.0,1421255402.0,
6.0,1421255402.0,
0.0,1421255402.0,
2.0,1421255402.0,
0.0,1421255403.0,
-2.0,1421255403.0,
3.0,1421255404.0,
0.0,1421255404.0,football
8.0,1421255404.0,
0.0,1421255404.0,
1.0,1421255405.0,
0.0,1421255405.0,
3.0,1421255405.0,
0.0,1421255405.0,
0.0,1421255406.0,
-3.0,1421255406.0,
0.0,1421255406.0,football
0.0,1421255406.0,
0.0,1421255407.0,
8.0,1421255407.0,
2.0,1421255407.0,
7.0,1421255407.0,football
0.0,1421255408.0,
-6.0,1421255409.0,
1.0,1421255409.0,
2.0,1421255409.0,
0.0,1421255409.0,
3.0,1421255409.0,
0.0,1421255409.0,
0.0,1421255409.0,
3.0,1421255410.0,
-3.0,1421255410.0,
